organisation,distinct_urls,consuming_packages,rows_citing,trust_score
WebSearch aggregated (multiple scheme-tracker sites; original launch Sept 17 2023),1,Package004_Industries,1,55
Startup India Seed Fund portal,1,Package007_Government_Schemes,1,85
"WebSearch aggregation: Shikshan.org, Youth4work, IndiaCollegesHub",1,Package006_Skills_and_Training,1,55
Government of Telangana Horticulture/MIDH scheme page (shm.tg.nic.in); TSSOCA (Telangana State Seed & Organic Certification Authority); seednet.gov.in (Dept. of Agriculture & Farmers Welfare seed schemes portal); TradeIndia (Prince Agro Industries seed cleaning/grading plant listing); Agro Asian Industries seed-processing-plant product page; TSSDCL (Telangana State Seeds Development Corporation Ltd) official 'about' page,1,Package004_Industries,1,85
Ministry of Skills,1,Package005_Agriculture,1,85
"WebSearch aggregated (Ministry of Social Justice and Empowerment PDF, Drishti IAS, Sanskriti IAS, schemesinindia.in)",1,Package006_Skills_and_Training,1,85
WebSearch cross-check (socialjustice.gov.in generic pre-matric scheme description; jnanabhumi.ap.gov.in and teachersbadi.in for AP-specific application details),1,Package002_Education,1,85
"WebSearch cross-check (socialjustice.gov.in, tcs.dosje.gov.in, india.gov.in listed among results; corroborated by buddy4study.com, indiascholarships.in)",1,Package002_Education,1,85
"WebSearch cross-check (nosmsje.gov.in and socialjustice.gov.in listed among results; corroborated by buddy4study.com, gyandhan.com, wemakescholars.com)",1,Package002_Education,1,85
"WebSearch cross-check (socialjustice.gov.in and nsfdc.nic.in listed among results; corroborated by buddy4study.com, schemesinindia.in)",1,Package002_Education,1,85
Soil Health Card portal,1,Package007_Government_Schemes,1,85
spsnellore.ap.gov.in; mbbscouncil.com (via WebSearch snippets),1,Package003_Healthcare,1,85
srikakulam.ap.gov.in (via WebSearch snippet),1,Package003_Healthcare,1,85
"WebSearch aggregated (Delhi State Urban Livelihoods Mission, FICSI, ASCI, NULM training module PDF)",1,Package006_Skills_and_Training,1,85
National Institute of Solar Energy (NISE) Suryamitra Skill Development Programme; Ministry of New and Renewable Energy (MNRE) Skill Development Programme page; NSDC Solar PV Installer (Suryamitra) listing,1,Package006_Skills_and_Training,1,55
suryapet.telangana.gov.in (via WebSearch snippet),1,Package003_Healthcare,1,85
Suryapet district government portal; aggregator snippets,1,Package003_Healthcare,1,85
SWAYAM official portal; SWAYAM exam process guide,1,Package006_Skills_and_Training,1,85
"ITI 'Pump Operator cum Mechanic' course-detail aggregator pages citing DGT/NCVT CTS structure; Kirloskar/Texmo/CRI dealer listings (IndiaMART, Motors and Motor); PM-KUSUM official scheme materials (PIB, MNRE-linked guides)",1,Package004_Industries,1,55
Tea Board of India,1,Package005_Agriculture,1,85
"WebSearch cross-check (studentcover.in, teachersbadi.in describing this as the BC-category successor naming after 2024 rebrand)",1,Package002_Education,1,55
"WebSearch cross-check (telanganaepass.cgg.gov.in listed among results; corroborated by teachersbadi.in, collegemanzil.com, indiascholarships.in)",1,Package002_Education,1,55
WebSearch cross-check (telanganaepass.cgg.gov.in referenced; corroborated by teachersbadi.in listing of the three TG overseas schemes by name),1,Package002_Education,1,55
"RESOLVED in RC2 enrichment: official GATE 2027 notification released by IIT Madras on 20 July 2026 at gate2027.iitm.ac.in, cross-checked via Testbook and PW Live news coverage of the same notification",1,Package002_Education,1,55
TSCHE Official Website (History page),1,Package002_Education,1,75
"Aggregator search snippets (thecareerassistance.com, getmyuniversity.com)",1,Package003_Healthcare,1,55
Third-party certification cost aggregators referencing AWS/Pearson VUE pricing,1,Package006_Skills_and_Training,1,55
APSSDC official/district government page; National Skills Network article on APSSDC-NSDA NSQF workshop,1,Package006_Skills_and_Training,1,85
Tobacco Board of India,1,Package005_Agriculture,1,85
WebSearch aggregation of state tourism department announcements and news coverage; WebSearch aggregation of Telangana rural-tourism-project sources (2026-07-24 pass),1,Package004_Industries,1,85
Ministry of Tribal Affairs,1,Package007_Government_Schemes,1,85
"WebSearch cross-check (tribal.nic.in and pib.gov.in listed among results; corroborated by galaxyeduworld.com, scholarshipsinindia.com)",1,Package002_Education,1,85
TRIFED; Ministry of Tribal Affairs; State Forest Departments,1,Package005_Agriculture,1,85
TSBIE Official Website (via WebSearch cross-check),1,Package002_Education,1,85
Official NTA UGC-NET portal,1,Package002_Education,1,85
UIDAI,1,Package007_Government_Schemes,1,85
"WebSearch aggregated (Vajiram & Ravi, BankBazaar, National Skills Network, Indian Bank)",1,Package006_Skills_and_Training,1,55
"wanaparthy.telangana.gov.in; medicalneetug.com; edufever.com (WebSearch snippets only, no direct fetch)",1,Package003_Healthcare,1,85
Wanaparthy district government portal; aggregator snippets,1,Package003_Healthcare,1,85
Ministry of Women and Child Development,1,Package007_Government_Schemes,1,85
"WebSearch aggregated (WE-HUB official site, KP IAS Academy, News on Air)",1,Package004_Industries,1,85
westgodavari.ap.gov.in; Mappls; ayushmancardhospitals.com (via WebSearch snippets),1,Package003_Healthcare,1,85
WebSearch aggregation summarizing secondary/aggregator sources; several aggregator sites still reference the pre-2024 trust name,1,Package003_Healthcare,1,55
AICTE Official Website,1,Package002_Education,1,55
AICTE official SWAYAM bureau page; SWAYAM official website,1,Package006_Skills_and_Training,1,55
Official college website (aiimsmangalagiri.edu.in); aggregator cross-check,1,Package003_Healthcare,1,55
Generic PMFME/AP Food Processing Policy scheme facts (see other rows); Coconut Board of India coconut-scenario article; India Stat Districts coconut production data (East Godavari); ResearchGate economic-analysis paper on West Godavari coconut cultivation; Entrepreneur India (Coco Soul/ITC D2C reporting); Svaadh Foods coconut-oil-brands comparison article,1,Package004_Industries,1,85
Apprenticeship India portal; DGT,1,Package007_Government_Schemes,1,85
APSSDC official website (via search snippet); Government of Andhra Pradesh district portal (tirupati.ap.gov.in/apssdc); India.gov.in National Portal service listing,1,Package006_Skills_and_Training,1,55
Arduino,1,Package006_Skills_and_Training,1,55
ARM,1,Package006_Skills_and_Training,1,55
Autodesk,1,Package006_Skills_and_Training,1,55
"WebSearch aggregated (schemesinindia.in, Bajaj Finserv, alp.consulting, govtschemesindia.com)",1,Package006_Skills_and_Training,1,55
"WebSearch cross-check (bajajfinserv.in, nsphelp.in, yojanagyan.in, anantamias.com - multiple aggregators consistent)",1,Package002_Education,1,55
"Aggregator search snippets (banodoctor.com, targetneet.com)",1,Package003_Healthcare,1,55
Bureau of Indian Standards,1,Package008_MSME,1,85
WebSearch aggregation: britishschooloflanguages.com and Justdial business listings referencing this PMKK,1,Package006_Skills_and_Training,1,55
"WebSearch cross-check (buddy4study.com, teachersbadi.in, schemesinindia.in, mahadevmaitri.org)",1,Package002_Education,1,55
"WebSearch cross-check (buddy4study.com, indiascholarships.in, multiple aggregators consistent on Rs 50,000 figure)",1,Package002_Education,1,55
Official college website (caims.in); aggregator cross-check,1,Package003_Healthcare,1,55
"WebSearch aggregation: Shikshan.org, Careers360, Collegedunia listings",1,Package006_Skills_and_Training,1,55
Aggregator search snippets (careers360.com),1,Package003_Healthcare,1,55
WebSearch aggregation: careers360.com listing title only; full course/address detail not retrieved before this session's WebSearch quota was exhausted,1,Package006_Skills_and_Training,1,55
"WebSearch aggregated (Cashfree, Sarkari Yojana, HDFC Bank, District Industries Centre Puducherry)",1,Package004_Industries,1,55
CBSE Official Website,1,Package002_Education,1,85
"WebSearch aggregated (CGTMSE official site, Vajiram & Ravi, BankBazaar, Ministry of MSME PDF)",1,Package004_Industries,1,55
Coursera / Google Career Certificates official program pages,1,Package006_Skills_and_Training,1,55
"CSDCI/NSDC Tile Mason qualification pack and NQR qualification file; Kajaria Ceramics and Gresbond company/product materials; Somany Tile Master CSR programme documentation (CSRBox, India Masons); tile-laying-machine/robot industry-technology sources",1,Package004_Industries,1,55
CSDCI/NSDC Assistant False Ceiling and Drywall Installer and Foreman qualification packs; Saint-Gobain Gyproc company and product materials; Startuppedia profile of Ceiling Banao/Manoj Kumar Mishra; Bangalore Insider profile of MyCeiling Pvt Ltd,1,Package004_Industries,1,55
Databricks,1,Package006_Skills_and_Training,1,55
WebSearch cross-check (jnanabhumi.ap.gov.in referenced across many results; renaming confirmed via GO No. 4 dated 18-Jun-2024 per Deccan Chronicle and other news coverage),1,Package002_Education,1,55
WebSearch cross-check (telanganaepass.cgg.gov.in referenced; corroborated by deccanchronicle.com news article and teachersbadi.in),1,Package002_Education,1,55
WebSearch aggregation summarizing DESW/ECHS official material via secondary sources,1,Package003_Healthcare,1,85
"WebSearch aggregated (Devdiscourse, IndiaFilings, Vikaspedia, PIB)",1,Package006_Skills_and_Training,1,55
DGCA,1,Package006_Skills_and_Training,1,85
National Academic Depository; DigiLocker,1,Package007_Government_Schemes,1,85
"WebSearch aggregated (Drishti IAS, Insights on India, Delhi govt district portal, World Bank press release)",1,Package006_Skills_and_Training,1,55
EC-Council,1,Package006_Skills_and_Training,1,55
"WebSearch cross-check (education.gov.in, myscheme.gov.in listed among results; content summarized via secondary aggregators buddy4study.com and sabscholarship.com)",1,Package002_Education,1,85
"Aggregator search snippets (edufever, careermarg, moksh16)",1,Package003_Healthcare,1,55
"SBTET/Telangana Electrical Licensing Board procedure summaries (Electrical4u, Wikiprocedure); Telangana State Electrical Licensing Regulations, 2018 (secondary summary); EV charging market reports (IBEF, Elektree); Knight Frank Skilled Employment in Construction report; BEE Star Rating programme materials",1,Package004_Industries,1,55
ESSCI Qualification Pack; NSDC job role listing,1,Package006_Skills_and_Training,1,55
FANUC,1,Package006_Skills_and_Training,1,55
FANUC America CERT program page; FANUC India Academy page,1,Package006_Skills_and_Training,1,55
Food Industry Capacity & Skill Initiative (FICSI) Multi-Skill Technician (Food Processing) NCVET-approved Qualification File; NABARD paper on Farmer Producer Organisations (Status & Issues),1,Package006_Skills_and_Training,1,55
"FutureSkills Prime official website (About Us, Govt of India Incentives pages); Digital India (MeitY) initiative page; NIELIT official reference",1,Package006_Skills_and_Training,1,55
Official college website (gmcknr.com); aggregator corroboration,1,Package003_Healthcare,1,55
"gmcnandyal-ap-gov.com; gmcnandyalaap-govt.in; nyraeducation.in (WebSearch snippets only, no direct fetch)",1,Package003_Healthcare,1,55
gmcongole.org (via WebSearch snippet),1,Package003_Healthcare,1,55
Aggregator search snippets; Deccan Herald news coverage,1,Package003_Healthcare,1,55
"WebSearch aggregation: institution's own domain (govtpolyvisakhapatnam.in) surfaced in results; corroborated by Shikshan.org, Kollegeapply, TestPrepKart",1,Package006_Skills_and_Training,1,55
"WebSearch aggregated (Legal Service India, IBEF, IIFL, News on Air)",1,Package004_Industries,1,55
"WebSearch aggregation of seller-guide and platform documentation sources; WebSearch aggregation of seller-earnings, AI-tooling, GST-compliance and market-size sources (2026-07-24 pass)",1,Package004_Industries,1,55
WebSearch aggregation of policy-analysis and scheme-portal sources; WebSearch aggregation of CSC-VLE income/success-story and ODOP district-product sources (2026-07-24 pass),1,Package004_Industries,1,55
Income Tax Department,1,Package007_Government_Schemes,1,85
State governments,1,Package007_Government_Schemes,1,85
"Aggregator search snippets (indiaccess.com, careers360)",1,Package003_Healthcare,1,55
"Telangana Water, Land and Trees Act, 2002 (India Code, secondary summary); Wikiprocedure Telangana borewell-registration summary; CGWA guidance; commercial rig-pricing listings (TradeIndia, IndiaMART, Ganesh Drillers Hyderabad); groundwater-depletion research (MDPI Bengaluru case study, Deccan Herald Karnataka reporting); Jal Sanchay Jan Bhagidari and Atal Bhujal Yojana government initiatives (PIB/SANDRP)",1,Package004_Industries,1,85
WebSearch aggregation of industry/commerce blog sources; WebSearch aggregation of WhatsApp-commerce and kirana-automation sources (2026-07-24 pass),1,Package004_Industries,1,55
IREDA,1,Package006_Skills_and_Training,1,55
Indian Banks' Association model scheme; Department of Financial Services,1,Package007_Government_Schemes,1,55
kmcwgl.com; Mappls; thewarangal.com (via WebSearch snippets),1,Package003_Healthcare,1,55
Third-party certification cost aggregators referencing Microsoft/Pearson VUE pricing,1,Package006_Skills_and_Training,1,55
Ministry of MSME,1,Package007_Government_Schemes,1,85
"KVIC/PMEGP project profile 'Red Chilli Powder Production Unit' (kviconline.gov.in); PMFME Model DPR - Byadgi Chilli Processing Unit (NIFTEM); MSME-DI Hyderabad Brief Industrial Profile; ThePrint reporting on Guntur chilli exports and China trade; gunturmirchi.in market-yard data; PMFME Telangana Common Infrastructure page (Chilli Incubation Centre, RARS Warangal); organicmandya.com and Tribune India coverage of chilli-powder adulteration/recalls",1,Package004_Industries,1,85
"KVIC/PMEGP common project profiles: Handmade Pickle, Lime Pickle (kviconline.gov.in); Government of Telangana MSME Policy Order; e-commerce-seller market commentary on regional packaged foods (2026)",1,Package004_Industries,1,85
"KVIC/PMEGP common project profiles: Handmade Pickle, Lime Pickle, Tomato Products and Pickles (kviconline.gov.in); RSETI training press coverage; AP Food Processing Policy 4.0; 30stades.com (Bhogaraju Foods success story); ffreedom.com pickle-business course listing; e-commerce-seller market commentary on regional packaged foods (2026)",1,Package004_Industries,1,85
KVIC (Khadi and Village Industries Commission) / PMEGP official common project profile: 'MASALA MAKING UNIT (MEDIUM)'; Brandz Magazine (Badshah Masala success story); IIFL Finance spice-business start-up guide; IndiaMART (Confider Industries LLP pulverizer listing); Udyogwardhini spice-processing course listing,1,Package004_Industries,1,85
"KVIC (Khadi and Village Industries Commission) / PMEGP official common project profile: 'MASALA MAKING UNIT (SMALL)'; Brandz Magazine (Badshah Masala success story); IIFL Finance spice-business start-up guide; IndiaMART (Kumawat Engineering Works pulveriser listing); Udyogwardhini spice-processing course listing; YouTube (home-based masala/spice-business tutorials, titles cited in field)",1,Package004_Industries,1,85
"KVIC (Khadi and Village Industries Commission) / PMEGP official common project profile: 'PROJECT PROFILE ON GROUNDNUT OIL AND OIL CAKE MANUFACTURING'; Tata Simply Better, Earthen Story, Little Farmer India, KachiGhaani.com, Avitus Foods (D2C brand websites); SiliconIndia '10 Best Cold Pressed Oil Brand Startups' ranking; Deccan Chronicle (Anantapur groundnut decline reporting); PMC/NCBI review on cold-pressed oilseed cakes",1,Package004_Industries,1,85
"KVIC/PMEGP common project profiles (kviconline.gov.in): Masala Making Unit, Spice Grinding Unit, Cumin Powder; MSME-DI Hyderabad Brief Industrial Profile (turmeric-producer fact); PIB/DD News/Agro Spectrum India coverage of the National Turmeric Board inauguration (July 2025); Swarajya Mag and related coverage on spice adulteration; Investing.com/Kedia Advisory turmeric price-seasonality reporting; IndiaMART turmeric-processing-machine listings; Udyogwardhini spice-processing course listing",1,Package004_Industries,1,85
"WebSearch aggregated (Legal Service India, myHQ, Vakilsearch, RegisterKaro, Patron Accounting)",1,Package004_Industries,1,55
DGCA drone licensing process as described by industry RPTO training providers (primary DGCA/eGCA government pages could not be directly fetched due to access restrictions on .gov.in domains),1,Package006_Skills_and_Training,1,55
Cross-checked via Manabadi and Shiksha; convenor contact confirms Acharya Nagarjuna University as conducting institution,1,Package002_Education,1,55
Maruti Suzuki official CSR/ITI-upgradation page; CSRBox news coverage of the ASEC initiative,1,Package006_Skills_and_Training,1,55
Maruti Suzuki official corporate website; Youth4work institutional profile,1,Package006_Skills_and_Training,1,55
Ministry of Corporate Affairs,1,Package005_Agriculture,1,85
McKinsey,1,Package006_Skills_and_Training,1,62
"WebSearch aggregation of platform/industry sources; WebSearch aggregation of Dukaan seller-story, Meta AI-tooling and market-size sources (2026-07-24 pass)",1,Package004_Industries,1,55
"WebSearch cross-check (minorityaffairs.gov.in and indiascienceandtechnology.gov.in listed among results; corroborated by buddy4study.com, india.gov.in)",1,Package002_Education,1,85
"WebSearch cross-check (minorityaffairs.gov.in and indiascienceandtechnology.gov.in listed among results; corroborated by testbook.com, mahadevmaitri.org, indiascholarships.in)",1,Package002_Education,1,85
WebSearch aggregation (NHA/MoHFW press material summarized by secondary sources; no direct .gov.in fetch this session),1,Package003_Healthcare,1,85
"Aggregator college-listing sites (moksh16.com, careers360.com) via WebSearch snippets",1,Package003_Healthcare,1,55
"Aggregator search snippets (moksh16.com, rmgoe.org)",1,Package003_Healthcare,1,55
MSDE official PMKK scheme page; IMPRI India policy-update brief on PMKKs (2025); YouthPower India institutional listing for Hyderabad PMKK,1,Package006_Skills_and_Training,1,85
"WebSearch aggregated (MSDE official site, PIB, MyScheme, YouthPower India, YuvaSathi)",1,Package006_Skills_and_Training,1,85
MSDE PMKVY 4.0 Guidelines; myScheme government scheme portal,1,Package006_Skills_and_Training,1,85
MSME-DI Thrissur project profile on Aluminium Fabrication; KVIC PMEGP common project profile documents (search-snippet level); Jindal Aluminium and Hindalco company materials; Entrepreneur Street profile of Aluguard Systems; NIIR aluminium-fabrication business-idea industry summary,1,Package004_Industries,1,85
WebSearch cross-check (NBA official site + Ministry of Education page),1,Package002_Education,1,55
NDDB; Department of Animal Husbandry & Dairying,1,Package005_Agriculture,1,55
MoHFW,1,Package006_Skills_and_Training,1,85
NIELIT official website (Hyderabad centre page),1,Package006_Skills_and_Training,1,85
NIELIT official 'A' Level page; NIELIT NSQF-aligned courses annexure,1,Package006_Skills_and_Training,1,55
NIELIT official course page; NIELIT exam FAQ aggregator,1,Package006_Skills_and_Training,1,55
NIELIT official 'O' Level page; National Qualification Register (NQR),1,Package006_Skills_and_Training,1,55
NIIT official corporate website; NIIT Foundation official website,1,Package006_Skills_and_Training,1,55
DGT/NCVT Turner and Machinist CTS Qualification Files; CNC Machinist 3-Axis Short-Term Course Qualification File; Bharat Skills CITS Machinist & Operator Advance Machine Tool curriculum,1,Package006_Skills_and_Training,1,55
NIRF Official Website,1,Package002_Education,1,55
DGT/NCVT Plumber CTS and ATS Qualification Files (multiple curriculum versions at different NSQF levels),1,Package006_Skills_and_Training,1,85
National Qualification Register (NQR) Qualification File; B&WSSC official site,1,Package006_Skills_and_Training,1,85
DGT/NCVET Electrician CTS 2.0 Qualification File; DGT apprenticeship (NAPS) framework; IASC Sector Skill Council PLC Technician QP; ESSCI Qualification Packs,1,Package006_Skills_and_Training,1,85
"WebSearch aggregated (NSDC official site, Vajiram & Ravi, BankBazaar, Newkerala)",1,Package004_Industries,1,55
"NSDC 'Construction Painter and Decorator' participant handbook/QP; National Qualifications Register (NQR) qualification file; Asian Paints dealership-model and app materials (Khatabook, StartupTalky, Asian Paints official app-store listings); paint-industry seasonal-demand analysis (Adgully, DKSH Insights, Business Standard)",1,Package004_Industries,1,55
"WebSearch cross-check (dst.gov.in and indiascienceandtechnology.gov.in listed among results; corroborated by buddy4study.com, sabscholarship.com)",1,Package002_Education,1,85
Oracle,1,Package006_Skills_and_Training,1,55
PFRDA; NPS Trust,1,Package007_Government_Schemes,1,55
PMFME Model DPR - Ragi/Small Millets Processing Unit (hosted on state PMFME portals); PIB/Agro Spectrum India coverage of Telangana's PJTSAU Millet Incubation Centre; Telangana Today news report on Chelpur unit; IIMR FPO-support data; The Better India (Troo Good and Health Sutra founder profiles); Future Market Insights / 6Wresearch / Ken Research millet-market-size reporting; OpenPR India millets-production data,1,Package004_Industries,1,85
PIB press release on IIMR's millet-promotion/FPO-support activities; ICAR official feature on the Dhimsa FPO/Killoguda Custom Hiring Centre; Krishi Jagran coverage of ICAR-IIMR millet-processing-unit rollout for FPOs; millets.res.in IIMR FPO Profiles document,1,Package004_Industries,1,85
PIB press release on PM Vishwakarma Yojana; DGT/NCVT ITI Carpenter syllabus (Bharat Skills/NSQF); KVIC PMEGP Wooden Furniture project profile; YourStory profile of Priti Ajay Hinge; Umaboy CNC router company materials; Archidply Industries company materials; Knight Frank Skilled Employment in Construction report,1,Package004_Industries,1,85
PIB (Press Information Bureau) official press release on Skill India Digital Hub; India.gov.in National Portal service listing,1,Package006_Skills_and_Training,1,85
"Cross-checked via PW Live, Apollo University blog and AP Teachers portal (application portal cets.apsche.ap.gov.in/ICET)",1,Package002_Education,1,55
Red Hat official NSDC training and certification partnership page,1,Package006_Skills_and_Training,1,55
"WebSearch aggregation: institution's own domain (sdivisakh.in) surfaced in results; corroborated by nationalskillsnetwork.in, Ministry of Petroleum & Natural Gas refining/skill-development page, Devex",1,Package006_Skills_and_Training,1,55
Schneider Electric India EcoXpert partner program pages,1,Package006_Skills_and_Training,1,55
Official Consortium of NLUs website cross-checked via Careers360 Law and Shiksha,1,Package002_Education,1,55
Cross-checked via Shiksha and Findmycollege (application portal lawcet.tgche.ac.in),1,Package002_Education,1,55
SIAM,1,Package006_Skills_and_Training,1,55
WebSearch aggregation of contemporaneous news coverage (launch-week reporting),1,Package003_Healthcare,1,55
Siemens,1,Package006_Skills_and_Training,1,55
Siemens official SITRAIN SMSCP program page,1,Package006_Skills_and_Training,1,55
MSDE; NSDC; Skill India Digital,1,Package007_Government_Schemes,1,85
"WebSearch aggregated (SMFG India Credit, Paisabazaar, Credlix, Bajaj Finserv, AP district portals)",1,Package004_Industries,1,55
"WebSearch aggregated (Sarkari Yojana, Stashfin, Matribhumi Samachar, Yojana Vichar)",1,Package004_Industries,1,55
"WebSearch aggregation of business directories and industry articles; WebSearch aggregation of rental-platform, wedding-market-size and circular-fashion sources (2026-07-24 pass)",1,Package004_Industries,1,55
Tally Academy authorized certification page; course-fee aggregator,1,Package006_Skills_and_Training,1,55
"WebSearch aggregation: targetadmission.com, list.polytechniccolleges.in",1,Package006_Skills_and_Training,1,55
"TASK official website; Department of IT, Electronics & Communications, Government of Telangana",1,Package006_Skills_and_Training,1,85
"WebSearch aggregated (TASK official site, Telangana Web Directory, engineering college portals)",1,Package004_Industries,1,85
Telangana State Portal (telangana.gov.in); cross-referenced via Wikipedia compilation citing the State Portal,1,Package001_Geography,1,85
Telangana State Portal press releases (2024); The South First and Deccan Chronicle news coverage of the enabling Assembly bill,1,Package006_Skills_and_Training,1,85
"WebSearch aggregated (Telangana State Portal, Business Standard, BankExamsToday, News on Air)",1,Package004_Industries,1,85
CGTC,1,Package006_Skills_and_Training,1,85
"WebSearch aggregated (TGIIC official site, Telangana Web Directory, The South First, Wikipedia via search summary)",1,Package004_Industries,1,85
"WebSearch aggregated (The Hans India, aimindia.in, tirupati.ap.gov.in district portal, CBInsights)",1,Package006_Skills_and_Training,1,55
Aggregator college-listing sites (via WebSearch snippets),1,Package003_Healthcare,1,55
UGC Official Website (NAAC page) / WebSearch cross-check,1,Package002_Education,1,85
UGC Official Website,1,Package002_Education,1,85
"Third-party certification cost aggregators (uninets, networkershome) referencing Cisco/Pearson VUE pricing",1,Package006_Skills_and_Training,1,55
upGrad official website and About Us page,1,Package006_Skills_and_Training,1,55
YouTube,1,Package006_Skills_and_Training,1,55
"Aggregator search snippets (zynerd.com, edufever.com)",1,Package003_Healthcare,1,55
Official XAT portal (xatonline.in) cross-checked via InsideIIM and Shiksha,1,Package002_Education,1,55
Ministry of Youth Affairs and Sports,1,Package007_Government_Schemes,1,85
